p,word
0.0147000270928 0.0179556564918 0.0108006344031 0.0128187762838 0.0155385505835,中国
0.00213310656232 0.00408692095253 0.00230371096005 0.000840389438191 0.00729208378415,美元
0.00205685760716 0.00350240111463 0.00253219441399 0.00617299030293 0.00634682294523,中美
0.00220863696807 0.00176344761814 0.00195049284367 0.00590895013545 0.000732584493684,万吨
0.00289439213926 0.00340501035811 0.0024409986749 0.00711391211883 0.00372154284838,大豆
0.0055980190097 0.00465205139332 0.00199613391299 0.00256295222772 0.00160567664429,关税
0.0168705551538 0.0167817249411 0.0145869256214 0.0129760675797 0.0157573845766,美国
0.00502695625103 0.00540217499265 0.00156294669585 0.0032431496524 0.00342869839941,特朗普
0.00239907450458 0.0020119124701 0.00309076589536 0.00496835590779 0.0010236772634,价格
0.00323731790873 0.00484198632329 0.0022469941164 0.00245789117882 0.000876915156768,贸易战
0.00426552631858 0.00620597919087 0.00351302222284 0.00690536489934 0.00496126981431,贸易
0.00197848307683 0.000185611730487 0.00320347509204 0.000161220549607 0.000509039028845,芯片
0.00110468249772 0.00157336993221 0.00115183831222 0.000578123250081 0.00371790644046,指数
0.00651227123023 0.00791100858235 0.00733345415495 0.00920790458034 0.0061286048233,市场
0.00281724654082 0.000891644865285 0.00206420239169 0.00297948223084 0.000295253528634,库存
0.00430332793259 0.00426728839382 0.00448213513308 0.00428951867732 0.00182507592729,影响
0.000990143855732 0.000979073373671 0.000536434698207 0.00156926553047 0.00335472780424,双方
0.00121928975251 0.00285446631634 0.0018132485618 0.000578502468331 0.00320745715203,黄金
0.000571264605959 0.00058459731695 0.000958199806816 0.00318911128073 0.00102302861148,月份
0.00121875399974 0.00142238569521 0.00114058658356 0.0013089098576 0.0036461486919,支撑
0.0035794413457 0.00224571378159 0.00202996308667 0.00104712055413 0.00109423779444,产品
0.0036936617192 0.00226525581907 0.00347833430087 0.00230184697219 0.00124112174294,公司
0.00251328162528 0.00209471500856 0.00280563160696 0.00381788487199 0.00116902717457,国内
0.00228487464031 0.00202645731636 0.00163118598844 0.00407971194858 0.00291861686748,问题
0.000723397827026 0.000574979464998 0.00257680879683 0.00047207914468 0.000292531600417,基金
0.0016759584772 0.00257199515929 0.00213284507526 0.0026685843526 0.00415766873633,一个
0.0036180529288 0.00465206284463 0.00346717018443 0.00324450317233 0.00539773800873,经济
0.00327498791855 0.00280583793848 0.00151698021132 0.00130825011401 0.00145893876517,亿美元
0.00201795749662 0.00114967990722 0.00114071281677 0.00277026911154 0.000513157387226,我国
0.000952192351023 0.00112520372932 0.000673353980476 0.00282336809835 0.00182447604882,谈判
0.0028179667365 0.00230900694844 0.00193906785427 0.00402723235466 0.00204374402196,进口
0.00396016691008 0.00218247094578 0.00416264336893 0.00366233251008 0.00284558855777,企业
0.000876204857471 0.00129572639802 0.00127757250024 0.0029805822848 0.00138730568873,未来
0.00118018125799 0.000701557684381 0.0010721776982 0.00240395795412 0.000367519264759,豆粕
0.000115206621727 0.00040904445867 0.000331096850787 0.00115031047087 0.00196899922686,磋商
0.00019143765073 0.000706219016025 0.000764178797895 0.000942428975669 0.00218737783977,来说
0.000229225939224 0.000603928165808 0.000513589688372 0.0020372478325 0.000367270382633,现货
0.00228485189293 0.00197767252852 0.000741643590109 0.00104564058267 0.000730087888368,加征
0.00228459804616 0.00141759867868 0.00143720118968 0.00292912773842 0.00269938552428,增加
0.00209341518331 0.000472715455998 0.000843761438453 0.000575730515442 0.00051093393549,机构
0.0014092993725 0.00195823027947 0.001824844691 0.00198858528497 0.0032092213733,继续
0.000418736055628 0.000316640390649 0.000262814140319 0.00177467449557 0.000221968914687,种植
0.000533779241935 0.00117390434851 0.00112915287391 0.00130843048264 0.00233366910873,重要
0.000609512654568 0.000774508128193 0.00075269584877 0.000577114588046 0.00211368527422,今日
0.00178992896375 0.00186571250533 0.00195020295219 0.00162282718349 0.00320889195982,发展
0.00034344472167 0.000866951127239 0.000513479452071 0.000889656591169 0.00196860167471,农产品
0.00125599811821 0.000487162294754 0.000274245635838 0.00141114211188 0.00175059089152,知识产权
0.000228729329637 0.000306882460782 0.000387843204741 0.00062836823636 0.0017493780346,达成
0.00182708678173 0.000565220643814 0.000843517985742 0.000159987537906 0.000581785687037,创新
0.000533300970977 0.000672126300644 0.000297131244815 0.00182772988309 0.000367169541747,巴西
0.00201814241453 0.00147119312686 0.00193878906499 0.00188218704304 0.000512609714664,政策
0.000951782965784 0.000652822888744 0.000923926466422 0.00209048419658 0.000512758439772,进入
0.000115484195393 0.000594090377211 0.000376487743039 0.000367774718496 0.00167571626448,其实
0.00171300894588 0.000652840482653 0.00060443966491 0.000469203148505 7.56373297388e-05,记者
0.00190338032038 0.000706391761766 0.000456361440494 0.00057510573689 0.000510877504293,日本
0.0017896182611 0.00132014970109 0.00122024511869 0.000731718097173 0.000220601553667,报告
0.000495399580684 0.000750142280162 0.00078714201732 0.00182840981966 0.000294501211661,维持
0.00239936928412 0.00284481755938 0.00234942414926 0.00183110168004 0.0013137221936,全球
0.000153769497547 0.00102761307018 0.000650415824386 0.00162081997237 0.00138634930852,美联储
0.0015989610296 0.000833105577818 0.00141420426672 0.00209120475399 0.000658349928479,下降
0.00140883846472 0.00103761086339 0.000981059096905 0.00235261528061 0.001022598423,因素
0.0014090321414 0.00136395802937 0.00122054741267 0.00261458679301 0.00138707349566,预计
0.00327528166208 0.00412597940904 0.0037066978117 0.00470834036181 0.00350213733323,可能
0.00274185977848 0.0024015726868 0.00242928444086 0.00256296073026 0.00131413577679,目前
0.00152228452076 0.000394757605606 0.000661130628269 0.000210077405407 0.000146468294675,证券
0.000533321862101 0.000628343145175 0.000433816738617 0.00177624009455 0.00058531369587,要求
0.00178919145421 0.00071624487438 0.00158494988478 0.000733137896016 0.000656785071278,亿元
7.76438735508e-05 0.000535696917305 0.000878215961258 0.00156822436275 0.000730683078148,供应
0.00167455653059 0.0003948077974 0.00104884098742 0.000420529423171 0.00116577688849,业务
0.00201845753319 0.00223107176406 0.00258895698895 0.00313840919547 0.00175173682174,认为
0.00136897626018 9.78187988524e-05 0.00043284747296 0.000157888939435 0.00014606107647,券商
0.00194168242618 0.000974307002421 0.000809806068175 0.000784493863379 0.000584079743423,政府
0.00251296627506 0.00129100139968 0.00190461114808 0.00240603107698 0.00153263720445,需求
0.000305638190895 0.00107157426262 0.00118557107538 0.000109615943204 0.001236676764,港股
0.0019422743513 0.00206060240169 0.00309065065758 0.00282501606688 0.00204317250232,预期
0.00171249407078 0.000341191472587 0.000558842048549 0.000836520861777 0.000729756275755,下滑
0.00159911102701 0.00100356455551 0.00134544258886 0.000368009791684 0.000582985241226,产业
0.000762321269337 0.00182178675401 0.0018247520759 0.00141236735654 0.000876096519827,来看
0.00217079716484 0.00243076006224 0.00204144074731 0.00130918717608 0.00262531452066,数据
0.00144692530399 0.00107656565852 0.000832625698163 0.000782405308479 7.63440272699e-05,行情
0.000456877013901 0.000389750416831 0.000535710958354 0.000160470929342 0.0014558593135,意味着
0.000799969487741 0.00109112136353 0.000889697981915 0.00109908107448 0.00204177712144,世界
0.000913825365287 0.000740478552029 0.000946714663548 0.00172425798709 0.000367061011591,相对
0.00236100714296 0.00194367642622 0.00201859606607 0.00136056024856 0.00116750906611,行业
0.001522893663 0.000881768625159 0.00094676425731 0.00188281432202 0.00189678021441,减少
0.000190669497936 0.000263039722954 0.00034221793845 0.000575855684266 0.00138481569294,必须
0.00198069209223 0.00330268363278 0.00260042569029 0.00292971786456 0.00262647516933,中美贸易战
